predicted_label|	stack|	buffer|	dependencies|	sentence
SHIFT|	[0]|	[1, 2]|	[]|	ROOT jabbu rAvaccu
SHIFT|	[0]|	[1, 2]|	[]|	ROOT pakRavAwaM rAvaccu
SHIFT|	[0]|	[1, 2, 3]|	[]|	ROOT meVxadulo rakwanAlYAlu citluwAyi
SHIFT|	[0]|	[1, 2]|	[]|	ROOT cUpu masakabAruwuMxi
SHIFT|	[0]|	[1, 2, 3, 4, 5]|	[]|	ROOT rAmulu wulasini wIsukuni iMtiki vaccAdu
SHIFT|	[0]|	[1, 2, 3, 4]|	[]|	ROOT ippudu rAmuluku viRayAlu weVliSAyi
SHIFT|	[0]|	[1, 2]|	[]|	ROOT wulasiki weVliSAyi
SHIFT|	[0]|	[1, 2, 3, 4, 5, 6, 7]|	[]|	ROOT maMxulu vAdiwe rakwapotu axupulo uMtuMxi ani weVlusukunnAru
SHIFT|	[0]|	[1, 2, 3, 4]|	[]|	ROOT oVkasAri rakwapotu parIkRa ceyiMcukovAli
SHIFT|	[0]|	[1, 2, 3, 4]|	[]|	ROOT elYlu xAtAka parIkRalu ceyiMcukovAli
SHIFT|	[0]|	[1, 2, 3]|	[]|	ROOT baruvu peVragakuMdA cUsukovAli
SHIFT|	[0]|	[1, 2]|	[]|	ROOT maMxulu mAnakUdaxu
SHIFT|	[0]|	[1, 2, 3]|	[]|	ROOT wiMdilo jAgrawwalu pAtiMcAli
SHIFT|	[0]|	[1, 2, 3]|	[]|	ROOT paMta bAgA uMxi
SHIFT|	[0]|	[1, 2, 3, 4, 5]|	[]|	ROOT paSuvulu NULL kolYlu cAlA unnAyi
SHIFT|	[0]|	[1, 2]|	[]|	ROOT peVlYli ayiMxi
SHIFT|	[0]|	[1, 2]|	[]|	ROOT puruduku vacciMxi
SHIFT|	[0]|	[1, 2, 3]|	[]|	ROOT rojU bayata wiragAli
SHIFT|	[0]|	[1, 2]|	[]|	ROOT gAli wIsukovAli
SHIFT|	[0]|	[1, 2, 3, 4]|	[]|	ROOT aMxuke SAraxa gAliki wiruguwunnaxi
SHIFT|	[0]|	[1, 2, 3, 4]|	[]|	ROOT alA wiragadaMlo kodini cUsiMxi
SHIFT|	[0]|	[1, 2]|	[]|	ROOT guddu kUcuni
SHIFT|	[0]|	[1, 2, 3]|	[]|	ROOT rojulu alAge uMxi
SHIFT|	[0]|	[1, 2, 3]|	[]|	ROOT kodi levadaM lexu
