predicted_label|	stack|	buffer|	dependencies|	sentence
SHIFT|	[0]|	[1, 2]|	[]|	ROOT jabbu rAvaccu
SHIFT|	[0, 1]|	[2]|	[]|	ROOT jabbu rAvaccu
LEFTARC#k1|	[0, 1, 2]|	[]|	[]|	ROOT jabbu rAvaccu
RIGHTARC#root|	[0, 2]|	[]|	[(2, 1, 'k1')]|	ROOT jabbu rAvaccu
SHIFT|	[0]|	[1, 2]|	[]|	ROOT pakRavAwaM rAvaccu
SHIFT|	[0, 1]|	[2]|	[]|	ROOT pakRavAwaM rAvaccu
LEFTARC#k1|	[0, 1, 2]|	[]|	[]|	ROOT pakRavAwaM rAvaccu
RIGHTARC#root|	[0, 2]|	[]|	[(2, 1, 'k1')]|	ROOT pakRavAwaM rAvaccu
SHIFT|	[0]|	[1, 2, 3]|	[]|	ROOT meVxadulo rakwanAlYAlu citluwAyi
SHIFT|	[0, 1]|	[2, 3]|	[]|	ROOT meVxadulo rakwanAlYAlu citluwAyi
SHIFT|	[0, 1, 2]|	[3]|	[]|	ROOT meVxadulo rakwanAlYAlu citluwAyi
LEFTARC#k1|	[0, 1, 2, 3]|	[]|	[]|	ROOT meVxadulo rakwanAlYAlu citluwAyi
LEFTARC#k7p|	[0, 1, 3]|	[]|	[(3, 2, 'k1')]|	ROOT meVxadulo rakwanAlYAlu citluwAyi
RIGHTARC#root|	[0, 3]|	[]|	[(3, 2, 'k1'), (3, 1, 'k7p')]|	ROOT meVxadulo rakwanAlYAlu citluwAyi
SHIFT|	[0]|	[1, 2]|	[]|	ROOT cUpu masakabAruwuMxi
SHIFT|	[0, 1]|	[2]|	[]|	ROOT cUpu masakabAruwuMxi
LEFTARC#k1|	[0, 1, 2]|	[]|	[]|	ROOT cUpu masakabAruwuMxi
RIGHTARC#root|	[0, 2]|	[]|	[(2, 1, 'k1')]|	ROOT cUpu masakabAruwuMxi
SHIFT|	[0]|	[1, 2, 3, 4, 5]|	[]|	ROOT rAmulu wulasini wIsukuni iMtiki vaccAdu
SHIFT|	[0, 1]|	[2, 3, 4, 5]|	[]|	ROOT rAmulu wulasini wIsukuni iMtiki vaccAdu
SHIFT|	[0, 1, 2]|	[3, 4, 5]|	[]|	ROOT rAmulu wulasini wIsukuni iMtiki vaccAdu
LEFTARC#k2|	[0, 1, 2, 3]|	[4, 5]|	[]|	ROOT rAmulu wulasini wIsukuni iMtiki vaccAdu
LEFTARC#k1|	[0, 1, 3]|	[4, 5]|	[(3, 2, 'k2')]|	ROOT rAmulu wulasini wIsukuni iMtiki vaccAdu
SHIFT|	[0, 3]|	[4, 5]|	[(3, 2, 'k2'), (3, 1, 'k1')]|	ROOT rAmulu wulasini wIsukuni iMtiki vaccAdu
